Data Source,Type,Full Object Name,Object Name,Owner,Modified Date,Attributes,Entity Sources,Residencies,PII Count,Open Access,Number of Entities
SAS Workspaces (DataScience),file,Workspaces/Shared\Loss Forecasting\Allowance\2016 Q2/principal_results201606.csv,principal_results201606.csv,S-1-5-21-498304819-3224205621-3506385323-12592,2020-09-29 18:02:43.961,[classifier.Oportun SSN],,,1,No,
SAS Workspaces (DataScience),file,Workspaces/Shared\Loss Forecasting\Allowance\2016 Q1/principal_results201603.csv,principal_results201603.csv,S-1-5-21-498304819-3224205621-3506385323-12592,2020-09-29 18:02:43.949,[classifier.Oportun SSN],,,1,No,
SAS Workspaces (DataScience),file,Workspaces/Shared\Fraud\MichaelDong\Raw Data/allmobileloans_20170105.csv,allmobileloans_20170105.csv,S-1-5-21-498304819-3224205621-3506385323-12592,2020-09-18 18:49:43.806,[classifier.Oportun SSN],,,1,No,
SAS Workspaces (DataScience),file,Workspaces/Shared\DM\Post_Processing\Logs/3_Log_11AUG2020091304.txt,3_Log_11AUG2020091304.txt,S-1-5-21-498304819-3224205621-3506385323-20831,2020-09-28 20:22:06.278,[classifier.Oportun SSN],,,1,No,
SAS Workspaces (DataScience),file,Workspaces/Shared\Loss Forecasting\Allowance\2017 Q2/principal_results201706_15to29.csv,principal_results201706_15to29.csv,S-1-5-21-498304819-3224205621-3506385323-12592,2020-09-29 18:02:44.006,[classifier.Oportun SSN],,,1,No,
SAS Workspaces (DataScience),file,Workspaces/Shared\Fraud\MichaelDong/loan_id_0611.csv,loan_id_0611.csv,S-1-5-21-498304819-3224205621-3506385323-12592,2020-09-18 18:49:41.131,[classifier.Oportun SSN],,,1,No,
SAS Workspaces (DataScience),file,Workspaces/Shared\Fraud\MichaelDong/iovation_flatten_20161213.csv,iovation_flatten_20161213.csv,S-1-5-21-498304819-3224205621-3506385323-12592,2020-09-18 18:49:41.129,[classifier.Oportun SSN],,,1,No,
SAS Workspaces (DataScience),file,Workspaces/Shared\Fraud\MichaelDong/iovation_flatten_05172018.csv,iovation_flatten_05172018.csv,S-1-5-21-498304819-3224205621-3506385323-12592,2020-09-18 18:49:41.117,[classifier.Oportun SSN],,,1,No,
SAS Workspaces (DataScience),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_07292018.csv,fraudcheck_07292018.csv,S-1-5-21-498304819-3224205621-3506385323-12592,2020-09-18 18:49:41.084,[classifier.Oportun SSN],,,1,No,
SAS Workspaces (DataScience),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_07152018.csv,fraudcheck_07152018.csv,S-1-5-21-498304819-3224205621-3506385323-12592,2020-09-18 18:49:41.082,[classifier.Oportun SSN],,,1,No,
SAS Workspaces (DataScience),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_07082018.csv,fraudcheck_07082018.csv,S-1-5-21-498304819-3224205621-3506385323-12592,2020-09-18 18:49:41.079,[classifier.Oportun SSN],,,1,No,
SAS Workspaces (DataScience),file,Workspaces/Shared\DM\DM2019TR\Leads_Upload/Zeus_DMfile_201906_23MAY2019.csv,Zeus_DMfile_201906_23MAY2019.csv,S-1-5-21-498304819-3224205621-3506385323-20831,2020-09-28 20:22:00.268,[classifier.Oportun SSN],,,1,No,
SAS Workspaces (DataScience),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_06122018.csv,fraudcheck_06122018.csv,S-1-5-21-498304819-3224205621-3506385323-12592,2020-09-18 18:49:41.074,[classifier.Oportun SSN],,,1,No,
SAS Workspaces (DataScience),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_0601.csv,fraudcheck_0601.csv,S-1-5-21-498304819-3224205621-3506385323-12592,2020-09-18 18:49:41.071,[classifier.Oportun SSN],,,1,No,
SAS Workspaces (DataScience),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_0530.csv,fraudcheck_0530.csv,S-1-5-21-498304819-3224205621-3506385323-12592,2020-09-18 18:49:41.070,[classifier.Oportun SSN],,,1,No,
SAS Workspaces (DataScience),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_0524.csv,fraudcheck_0524.csv,S-1-5-21-498304819-3224205621-3506385323-12592,2020-09-18 18:49:41.069,[classifier.Oportun SSN],,,1,No,
SAS Workspaces (DataScience),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_0510.csv,fraudcheck_0510.csv,S-1-5-21-498304819-3224205621-3506385323-12592,2020-09-18 18:49:41.065,[classifier.Oportun SSN],,,1,No,
SAS Workspaces (DataScience),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_0507.csv,fraudcheck_0507.csv,S-1-5-21-498304819-3224205621-3506385323-12592,2020-09-18 18:49:41.065,[classifier.Oportun SSN],,,1,No,
SAS Workspaces (DataScience),file,Workspaces/Shared\Card\Rahul_Vemulapally\merchant/payments_20121120.csv,payments_20121120.csv,S-1-5-21-498304819-3224205621-3506385323-12592,2020-09-30 22:30:02.437,[classifier.Oportun SSN],,,1,No,
SAS Workspaces (DataScience),file,Workspaces/Shared\Card\Rahul_Vemulapally\merchant/Insert_merchant_20121010.txt,Insert_merchant_20121010.txt,S-1-5-21-498304819-3224205621-3506385323-12592,2020-09-30 22:30:02.434,[classifier.Oportun SSN],,,1,No,
SAS Workspaces (DataScience),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_0410.csv,fraudcheck_0410.csv,S-1-5-21-498304819-3224205621-3506385323-12592,2020-09-18 18:49:41.059,[classifier.Oportun SSN],,,1,No,
SAS Workspaces (DataScience),file,Workspaces/Shared\Verification_Services\TonySun/returningvalidation3.csv,returningvalidation3.csv,S-1-5-21-498304819-3224205621-3506385323-12592,2020-09-18 18:36:20.293,[classifier.Oportun SSN],,,1,No,
SAS Workspaces (DataScience),file,Workspaces/Shared\Verification_Services\TonySun/returningvalidation2.csv,returningvalidation2.csv,S-1-5-21-498304819-3224205621-3506385323-12592,2020-09-18 18:36:20.293,[classifier.Oportun SSN],,,1,No,
SAS Workspaces (DataScience),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_0221.csv,fraudcheck_0221.csv,S-1-5-21-498304819-3224205621-3506385323-12592,2020-09-18 18:49:41.050,[classifier.Oportun SSN],,,1,No,
SAS Workspaces (DataScience),file,Workspaces/Shared\Risk and Pricing Strategy\Michael Bargar/DefermentAgreementSignatureTypos.csv,DefermentAgreementSignatureTypos.csv,S-1-5-21-498304819-3224205621-3506385323-29499,2020-09-18 18:42:19.598,[classifier.Oportun SSN],,,1,No,
SAS Workspaces (DataScience),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_01282020.csv,fraudcheck_01282020.csv,S-1-5-21-498304819-3224205621-3506385323-12592,2020-09-18 18:49:41.046,[classifier.Oportun SSN],,,1,No,
SAS Workspaces (DataScience),file,Workspaces/Shared\Risk and Pricing Strategy\Ayush Manocha/pf_by_qtr.csv,pf_by_qtr.csv,S-1-5-21-498304819-3224205621-3506385323-6682,2020-09-18 18:41:54.788,[classifier.Oportun SSN],,,1,No,
SAS Workspaces (DataScience),file,Workspaces/Shared\Fraud\MichaelDong/check_17JUN19.csv,check_17JUN19.csv,S-1-5-21-498304819-3224205621-3506385323-12592,2020-09-18 18:49:41.040,[classifier.Oportun SSN],,,1,No,
SAS Workspaces (DataScience),file,Workspaces/Shared\Loss Forecasting\Long term projections/principal_byterm.csv,principal_byterm.csv,S-1-5-21-498304819-3224205621-3506385323-12592,2020-09-29 18:02:44.497,[classifier.Oportun SSN],,,1,No,
SAS Workspaces (DataScience),file,Workspaces/Shared\Fraud\MichaelDong/check_10SEP19.csv,check_10SEP19.csv,S-1-5-21-498304819-3224205621-3506385323-12592,2020-09-18 18:49:41.039,[classifier.Oportun SSN],,,1,No,
SAS Workspaces (DataScience),file,Workspaces/Shared\Fraud\MichaelDong/check09DEC19.csv,check09DEC19.csv,S-1-5-21-498304819-3224205621-3506385323-12592,2020-09-18 18:49:41.038,[classifier.Oportun SSN],,,1,No,
