Data Source,Type,Full Object Name,Object Name,Owner,Modified Date,Attributes,Entity Sources,Residencies,PII Count,Open Access,Number of Entities
SAS (Fraud),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_07282020_concat.csv,fraudcheck_07282020_concat.csv,S-1-5-21-498304819-3224205621-3506385323-895650,41:37.6,[classifier.Oportun SSN Near Term],,,2,No,
SAS (Fraud),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_06202020_concat.csv,fraudcheck_06202020_concat.csv,S-1-5-21-498304819-3224205621-3506385323-895650,41:37.6,[classifier.Oportun SSN Near Term],,,1,No,
SAS (Fraud),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_07052020_concat.csv,fraudcheck_07052020_concat.csv,S-1-5-21-498304819-3224205621-3506385323-895650,41:37.6,[classifier.Oportun SSN Near Term],,,4,No,
SAS (Fraud),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_04042020_concat.csv,fraudcheck_04042020_concat.csv,S-1-5-21-498304819-3224205621-3506385323-895650,41:37.6,[classifier.Oportun SSN Near Term],,,1,No,
SAS (Fraud),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_07142020_concat.csv,fraudcheck_07142020_concat.csv,S-1-5-21-498304819-3224205621-3506385323-895650,41:37.6,[classifier.Oportun SSN Near Term],,,4,No,
SAS (Fraud),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_08092020_concat.csv,fraudcheck_08092020_concat.csv,S-1-5-21-498304819-3224205621-3506385323-895650,41:37.6,[classifier.Oportun SSN Near Term],,,3,No,
SAS (Fraud),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_06082020_concat.csv,fraudcheck_06082020_concat.csv,S-1-5-21-498304819-3224205621-3506385323-895650,41:37.6,[classifier.Oportun SSN Near Term],,,1,No,
SAS (Fraud),file,Workspaces/Shared\Fraud\MichaelDong/fraud_model_data.csv,fraud_model_data.csv,S-1-5-21-498304819-3224205621-3506385323-895650,41:37.7,[classifier.Oportun SSN Near Term],,,9,No,
SAS (Fraud),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_06072020_concat.csv,fraudcheck_06072020_concat.csv,S-1-5-21-498304819-3224205621-3506385323-895650,41:37.6,[classifier.Oportun SSN Near Term],,,1,No,
SAS (Fraud),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_07202020_concat.csv,fraudcheck_07202020_concat.csv,S-1-5-21-498304819-3224205621-3506385323-895650,41:37.6,[classifier.Oportun SSN Near Term],,,1,No,
