"Data Source","Type","Full Object Name","Object Name","Owner","Modified Date","Attributes","Entity Sources","Residencies","PII Count","Open Access","Number of Entities"
"SAS collections (SSN)","file","Workspaces/Shared\Collections\01_Overall\Archieves\Yilin Zhang\Transition\Asset sale\New samples to buyers\NLEX/NLEX20190125.xlsx","NLEX20190125.xlsx","S-1-5-21-498304819-3224205621-3506385323-895650","2020-10-22 16:37:07.880","[classifier.US SSN]",,,1,"No",
"SAS collections (SSN)","file","Workspaces/Shared\Collections\01_Overall\Archieves\Yilin Zhang\Assignments\Beginning of Month\Assignments\October 2011/Step 3. Miguel Ponce Reassign.csv","Step 3. Miguel Ponce Reassign.csv","S-1-5-21-498304819-3224205621-3506385323-895650","2020-10-22 16:37:06.815","[classifier.US SSN]",,,1,"No",
"SAS collections (SSN)","file","Workspaces/Shared\Collections\01_Overall\Archieves\Yilin Zhang\Assignments\Beginning of Month\2016\04 April/Assignments to be corrected 04 11 2016.xlsx","Assignments to be corrected 04 11 2016.xlsx","S-1-5-21-498304819-3224205621-3506385323-895650","2020-10-22 16:37:06.545","[classifier.US SSN]",,,1,"No",
"SAS collections (SSN)","file","Workspaces/Shared\Collections\01_Overall\Archieves\Yilin Zhang\Assignments\Beginning of Month\2014\October/Field Collector Report 2014 October.xlsx","Field Collector Report 2014 October.xlsx","S-1-5-21-498304819-3224205621-3506385323-895650","2020-10-22 16:37:06.373","[classifier.US SSN]",,,1,"No",
"SAS collections (SSN)","file","Workspaces/Shared\Collections\01_Overall\Archieves\Yilin Zhang\Assignments\Beginning of Month\2014\June/Field Collector Report 2014 June.xlsx","Field Collector Report 2014 June.xlsx","S-1-5-21-498304819-3224205621-3506385323-895650","2020-10-22 16:37:06.343","[classifier.US SSN]",,,1,"No",
"SAS collections (SSN)","file","Workspaces/Shared\Collections\01_Overall\Archieves\Yilin Zhang\Assignments\Beginning of Month\2013\June/Bucket Data 1-119 June.xlsx","Bucket Data 1-119 June.xlsx","S-1-5-21-498304819-3224205621-3506385323-895650","2020-10-22 16:37:06.247","[classifier.US SSN]",,,1,"No",
"SAS collections (SSN)","file","Workspaces/Shared\Collections\03_Tools\Skip-a-pay\2020 COVID-19\Analysis\20200612 NonPayer early charge-off\outdated/NonPayer early charge-off v2.xlsx","NonPayer early charge-off v2.xlsx","S-1-5-21-498304819-3224205621-3506385323-895650","2020-10-22 16:37:15.095","[classifier.US SSN]",,,1,"No",
"SAS collections (SSN)","file","Workspaces/Shared\Collections\03_Tools\Skip-a-pay\2020 COVID-19\03. Ops follow ups\02. Follow up communication\Call volume est/Follow up - Call queue est_20200511.xlsx","Follow up - Call queue est_20200511.xlsx","S-1-5-21-498304819-3224205621-3506385323-895650","2020-10-22 16:37:12.926","[classifier.US SSN]",,,1,"No",
"SAS collections (SSN)","file","Workspaces/Shared\Collections\03_Tools\Skip-a-pay\2020 COVID-19\02. Tracking\03. Reports\outdated/RACH tracking.xlsx","RACH tracking.xlsx","S-1-5-21-498304819-3224205621-3506385323-895650","2020-10-22 16:37:12.885","[classifier.US SSN]",,,1,"No",
"SAS collections (SSN)","file","Workspaces/Shared\Collections\03_Tools\! User folder\Yangyu Liu\Gencoll Agent Goal Setting\Agent Performance RP\Today/Agent Performance 10 -06.xlsx","Agent Performance 10 -06.xlsx","S-1-5-21-498304819-3224205621-3506385323-895650","2020-10-22 16:37:11.534","[classifier.US SSN]",,,1,"No",
"SAS collections (SSN)","file","Workspaces/Shared\Collections\02_Customer Contact\Projects\Transition\Weiyang\Incentive Program\Analysis/High Incentive Program Performance_0609_v2.xlsx","High Incentive Program Performance_0609_v2.xlsx","S-1-5-21-498304819-3224205621-3506385323-895650","2020-10-22 16:37:10.358","[classifier.US SSN]",,,1,"No",
"SAS collections (SSN)","file","Workspaces/Shared\Collections\RCS Letters\CC Project\2017 09\2017 09 01\no_FEMA/Nonsue_Reg2_Eng.xlsx","Nonsue_Reg2_Eng.xlsx","S-1-5-21-498304819-3224205621-3506385323-895650","2020-10-22 16:37:44.655","[classifier.US SSN]",,,1,"No",
"SAS collections (SSN)","file","Workspaces/Shared\Collections\RCS Letters\CC Project\2017 09\2017 09 01\no_FEMA/Nonsue_Reg1_CA_SPA.xlsx","Nonsue_Reg1_CA_SPA.xlsx","S-1-5-21-498304819-3224205621-3506385323-895650","2020-10-22 16:37:44.652","[classifier.US SSN]",,,1,"No",
"SAS collections (SSN)","file","Workspaces/Shared\Collections\RCS Letters\CC Project\06 2017\2017 06 02\v1/Letter_Data_all_v1.xlsx","Letter_Data_all_v1.xlsx","S-1-5-21-498304819-3224205621-3506385323-895650","2020-10-22 16:37:44.456","[classifier.US SSN]",,,1,"No",
"SAS collections (SSN)","file","Workspaces/Shared\Collections\Letters\Archives\Letter Data\Automated Yellow Letter\Mail Files/Yellow_Letter_Remail_File_20120717.csv","Yellow_Letter_Remail_File_20120717.csv","S-1-5-21-498304819-3224205621-3506385323-895650","2020-10-22 16:37:42.887","[classifier.US SSN]",,,1,"No",
"SAS collections (SSN)","file","Workspaces/Shared\Collections\Letters\Archives\Letter Data\Automated Yellow Letter\Mail Files/Yellow_Letter_Remail_File_20120515.csv","Yellow_Letter_Remail_File_20120515.csv","S-1-5-21-498304819-3224205621-3506385323-895650","2020-10-22 16:37:42.886","[classifier.US SSN]",,,1,"No",
"SAS collections (SSN)","file","Workspaces/Shared\Collections\Letters\Archives\Letter Data\Automated Yellow Letter\Mail Files/Yellow_Letter_Remail_File_20120417.csv","Yellow_Letter_Remail_File_20120417.csv","S-1-5-21-498304819-3224205621-3506385323-895650","2020-10-22 16:37:42.886","[classifier.US SSN]",,,1,"No",
"SAS collections (SSN)","file","Workspaces/Shared\Collections\Letters\Archives\Letter Data\Automated Yellow Letter\Mail Files/Yellow_Letter_Mail_File_20120606.csv","Yellow_Letter_Mail_File_20120606.csv","S-1-5-21-498304819-3224205621-3506385323-895650","2020-10-22 16:37:42.884","[classifier.US SSN]",,,1,"No",
"SAS collections (SSN)","file","Workspaces/Shared\Collections\Assignments\Beginning of Month\YZ test\201807\Third version/Recovery Pivot July 2018.xlsx","Recovery Pivot July 2018.xlsx","S-1-5-21-498304819-3224205621-3506385323-895650","2020-10-22 16:37:40.319","[classifier.US SSN]",,,1,"No",
"SAS collections (SSN)","file","Workspaces/Shared\Collections\Assignments\Beginning of Month\YZ test\201807\Third version/RC2018.xlsx","RC2018.xlsx","S-1-5-21-498304819-3224205621-3506385323-895650","2020-10-22 16:37:40.318","[classifier.US SSN]",,,1,"No",
