"Data Source","Type","Full Object Name","Object Name","Owner","Modified Date","Attributes","Entity Sources","Residencies","PII Count","Open Access","Number of Entities"
"SAS Workspaces (DataScience)","file","Workspaces/Shared\Loss Forecasting\Allowance\2017 Q3/Sent to FPA.xlsx","Sent to FPA.xlsx","S-1-5-21-498304819-3224205621-3506385323-12592","2020-09-29 18:02:44.029","[classifier.Oportun SSN]",,,1,"No",
"SAS Workspaces (DataScience)","file","Workspaces/Shared\Loss Forecasting\Allowance\2016 Q4/Economic factors (combined).xlsx","Economic factors (combined).xlsx","S-1-5-21-498304819-3224205621-3506385323-12592","2020-09-29 18:02:43.977","[classifier.Oportun SSN]",,,1,"No",
"SAS Workspaces (DataScience)","file","Workspaces/Shared\Loss Forecasting\Allowance\2017 Q1/Economic factors (combined).xlsx","Economic factors (combined).xlsx","S-1-5-21-498304819-3224205621-3506385323-12592","2020-09-29 18:02:43.989","[classifier.Oportun SSN]",,,1,"No",
"SAS Workspaces (DataScience)","file","Workspaces/Shared\Loss Forecasting\Allowance\2017 Q1/ALL Overview Q1'17 20170413.pptx","ALL Overview Q1'17 20170413.pptx","S-1-5-21-498304819-3224205621-3506385323-12592","2020-09-29 18:02:43.982","[classifier.Oportun SSN]",,,1,"No",
"SAS Workspaces (DataScience)","file","Workspaces/Shared\Loss Forecasting\Allowance\2015 Q4/Q4'15 ALL Presentations.msg","Q4'15 ALL Presentations.msg","S-1-5-21-498304819-3224205621-3506385323-12592","2020-09-29 18:02:43.940","[classifier.Oportun SSN]",,,1,"No",
"SAS Workspaces (DataScience)","file","Workspaces/Shared\Loss Forecasting\Allowance\2016 Q2/principal_results201606.csv","principal_results201606.csv","S-1-5-21-498304819-3224205621-3506385323-12592","2020-09-29 18:02:43.961","[classifier.Oportun SSN]",,,1,"No",
"SAS Workspaces (DataScience)","file","Workspaces/Shared\Loss Forecasting\Allowance\2016 Q2/Economic factors (combined).xlsx","Economic factors (combined).xlsx","S-1-5-21-498304819-3224205621-3506385323-12592","2020-09-29 18:02:43.960","[classifier.Oportun SSN]",,,1,"No",
"SAS Workspaces (DataScience)","file","Workspaces/Shared\Loss Forecasting\Allowance\2016 Q2/Consolidated ALL Info Q2'16 v2.xlsx","Consolidated ALL Info Q2'16 v2.xlsx","S-1-5-21-498304819-3224205621-3506385323-12592","2020-09-29 18:02:43.954","[classifier.Oportun SSN]",,,1,"No",
"SAS Workspaces (DataScience)","file","Workspaces/Shared\Loss Forecasting\Allowance\2016 Q1/Q1'16 ALL memo final.docx","Q1'16 ALL memo final.docx","S-1-5-21-498304819-3224205621-3506385323-12592","2020-09-29 18:02:43.950","[classifier.Oportun SSN]",,,1,"No",
"SAS Workspaces (DataScience)","file","Workspaces/Shared\Loss Forecasting\Allowance\2016 Q1/principal_results201603.csv","principal_results201603.csv","S-1-5-21-498304819-3224205621-3506385323-12592","2020-09-29 18:02:43.949","[classifier.Oportun SSN]",,,1,"No",
"SAS Workspaces (DataScience)","file","Workspaces/Shared\Loss Forecasting\Allowance\2016 Q1/ALL Overview - Q1'16 final.pptx","ALL Overview - Q1'16 final.pptx","S-1-5-21-498304819-3224205621-3506385323-12592","2020-09-29 18:02:43.944","[classifier.Oportun SSN]",,,1,"No",
"SAS Workspaces (DataScience)","file","Workspaces/Shared\Loss Forecasting\Allowance\2015 Q3/Principal losses_DQ_Recoveries data Q3'15.xlsx","Principal losses_DQ_Recoveries data Q3'15.xlsx","S-1-5-21-498304819-3224205621-3506385323-12592","2020-09-29 18:02:43.930","[classifier.Oportun SSN]",,,1,"No",
"SAS Workspaces (DataScience)","file","Workspaces/Shared\Loss Forecasting\Allowance\2015 Q3/ALL Overview - Q3'15 v2.pptx","ALL Overview - Q3'15 v2.pptx","S-1-5-21-498304819-3224205621-3506385323-12592","2020-09-29 18:02:43.926","[classifier.Oportun SSN]",,,1,"No",
"SAS Workspaces (DataScience)","file","Workspaces/Shared\Loss Forecasting\Allowance\2015 Q2/Backtesting - segment level.docx","Backtesting - segment level.docx","S-1-5-21-498304819-3224205621-3506385323-12592","2020-09-29 18:02:43.915","[classifier.Oportun SSN]",,,1,"No",
"SAS Workspaces (DataScience)","file","Workspaces/Shared\Loss Forecasting\Allowance\2015 Q1/Q1'15 ALL memo.docx","Q1'15 ALL memo.docx","S-1-5-21-498304819-3224205621-3506385323-12592","2020-09-29 18:02:43.913","[classifier.Oportun SSN]",,,1,"No",
