Data Source,Type,Full Object Name,Object Name,Owner,Modified Date,Attributes,Entity Sources,Residencies,PII Count,Open Access,Number of Entities
SAS (Fraud),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_07282020_concat.csv,fraudcheck_07282020_concat.csv,S-1-5-21-498304819-3224205621-3506385323-895650,41:37.6,[classifier.Oportun SSN Near Term],,,2,No,
SAS (Fraud),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_06202020_concat.csv,fraudcheck_06202020_concat.csv,S-1-5-21-498304819-3224205621-3506385323-895650,41:37.6,[classifier.Oportun SSN Near Term],,,1,No,
SAS (Fraud),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_07052020_concat.csv,fraudcheck_07052020_concat.csv,S-1-5-21-498304819-3224205621-3506385323-895650,41:37.6,[classifier.Oportun SSN Near Term],,,4,No,
SAS (Fraud),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_04042020_concat.csv,fraudcheck_04042020_concat.csv,S-1-5-21-498304819-3224205621-3506385323-895650,41:37.6,[classifier.Oportun SSN Near Term],,,1,No,
SAS (Fraud),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_07142020_concat.csv,fraudcheck_07142020_concat.csv,S-1-5-21-498304819-3224205621-3506385323-895650,41:37.6,[classifier.Oportun SSN Near Term],,,4,No,
SAS (Fraud),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_08092020_concat.csv,fraudcheck_08092020_concat.csv,S-1-5-21-498304819-3224205621-3506385323-895650,41:37.6,[classifier.Oportun SSN Near Term],,,3,No,
SAS (Fraud),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_06082020_concat.csv,fraudcheck_06082020_concat.csv,S-1-5-21-498304819-3224205621-3506385323-895650,41:37.6,[classifier.Oportun SSN Near Term],,,1,No,
SAS (Fraud),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_06072020_concat.csv,fraudcheck_06072020_concat.csv,S-1-5-21-498304819-3224205621-3506385323-895650,41:37.6,[classifier.Oportun SSN Near Term],,,1,No,
SAS (Fraud),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_07202020_concat.csv,fraudcheck_07202020_concat.csv,S-1-5-21-498304819-3224205621-3506385323-895650,41:37.6,[classifier.Oportun SSN Near Term],,,1,No,
SAS (Fraud),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_04042019.csv,fraudcheck_04042019.csv,S-1-5-21-498304819-3224205621-3506385323-895650,41:37.6,[classifier.Oportun SSN Near Term],,,1,No,
SAS (Fraud),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_04182019.csv,fraudcheck_04182019.csv,S-1-5-21-498304819-3224205621-3506385323-895650,41:37.6,[classifier.Oportun SSN Near Term],,,1,No,
SAS (Fraud),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_04202019.csv,fraudcheck_04202019.csv,S-1-5-21-498304819-3224205621-3506385323-895650,41:37.6,[classifier.Oportun SSN Near Term],,,1,No,
SAS (Fraud),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_04222020_concat.csv,fraudcheck_04222020_concat.csv,S-1-5-21-498304819-3224205621-3506385323-895650,41:37.6,[classifier.Oportun SSN Near Term],,,1,No,
SAS (Fraud),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_05052019.csv,fraudcheck_05052019.csv,S-1-5-21-498304819-3224205621-3506385323-895650,41:37.6,[classifier.Oportun SSN Near Term],,,1,No,
SAS (Fraud),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_05232019.csv,fraudcheck_05232019.csv,S-1-5-21-498304819-3224205621-3506385323-895650,41:37.6,[classifier.Oportun SSN Near Term],,,1,No,
SAS (Fraud),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_08222020_concat.csv,fraudcheck_08222020_concat.csv,S-1-5-21-498304819-3224205621-3506385323-895650,41:37.6,[classifier.Oportun SSN Near Term],,,3,No,
SAS (Fraud),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_06282020_concat.csv,fraudcheck_06282020_concat.csv,S-1-5-21-498304819-3224205621-3506385323-895650,41:37.6,[classifier.Oportun SSN Near Term],,,1,No,
SAS (Fraud),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_07082020_concat.csv,fraudcheck_07082020_concat.csv,S-1-5-21-498304819-3224205621-3506385323-895650,41:37.6,[classifier.Oportun SSN Near Term],,,1,No,
SAS (Fraud),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_07112020_concat.csv,fraudcheck_07112020_concat.csv,S-1-5-21-498304819-3224205621-3506385323-895650,41:37.6,[classifier.Oportun SSN Near Term],,,1,No,
SAS (Fraud),file,Workspaces/Shared\Fraud\MichaelDong\trans\12132018_pre\Fraud Family\Fraud Adhoc/fraudcheck_0330.csv,fraudcheck_0330.csv,S-1-5-21-498304819-3224205621-3506385323-895650,41:41.9,[classifier.Oportun SSN Near Term],,,1,No,
SAS (Fraud),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_04302019.csv,fraudcheck_04302019.csv,S-1-5-21-498304819-3224205621-3506385323-895650,41:37.6,[classifier.Oportun SSN Near Term],,,2,No,
SAS (Fraud),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_09052020_concat.csv,fraudcheck_09052020_concat.csv,S-1-5-21-498304819-3224205621-3506385323-895650,41:37.6,[classifier.Oportun SSN Near Term],,,1,No,
