Data Source,Type,Full Object Name,Object Name,Owner,Modified Date,Attributes,Entity Sources,Residencies,PII Count,Open Access,Number of Entities
SAS (Fraud),file,Workspaces/Shared\Fraud\MichaelDong\03012019\Misc\Info\Income Velocity/Clarity_Income_Fraud_Matrix.csv,Clarity_Income_Fraud_Matrix.csv,S-1-5-21-498304819-3224205621-3506385323-895650,41:28.5,[classifier.Oportun SSN Near Term],,,3078,No,
SAS (Fraud),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_08022020_concat.csv,fraudcheck_08022020_concat.csv,S-1-5-21-498304819-3224205621-3506385323-895650,41:37.6,[classifier.Oportun SSN Near Term],,,2,No,
SAS (Fraud),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_08152020_concat.csv,fraudcheck_08152020_concat.csv,S-1-5-21-498304819-3224205621-3506385323-895650,41:37.6,[classifier.Oportun SSN Near Term],,,2,No,
SAS (Fraud),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_07192020_concat.csv,fraudcheck_07192020_concat.csv,S-1-5-21-498304819-3224205621-3506385323-895650,41:37.6,[classifier.Oportun SSN Near Term],,,2,No,
SAS (Fraud),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_06122020_concat.csv,fraudcheck_06122020_concat.csv,S-1-5-21-498304819-3224205621-3506385323-895650,41:37.6,[classifier.Oportun SSN Near Term],,,4,No,
SAS (Fraud),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_06142020_concat.csv,fraudcheck_06142020_concat.csv,S-1-5-21-498304819-3224205621-3506385323-895650,41:37.6,[classifier.Oportun SSN Near Term],,,2,No,
SAS (Fraud),file,Workspaces/Shared\Fraud\MichaelDong/app_Jan2017_May2018_bureau_agg.csv,app_Jan2017_May2018_bureau_agg.csv,S-1-5-21-498304819-3224205621-3506385323-895650,41:28.9,[classifier.Oportun SSN Near Term],,,472,No,
SAS (Fraud),file,Workspaces/Shared\Fraud\MichaelDong\New\12132018\Misc\Info\Income Velocity/Clarity_Income_Fraud_Matrix_11_12_2015.csv,Clarity_Income_Fraud_Matrix_11_12_2015.csv,S-1-5-21-498304819-3224205621-3506385323-895650,41:41.2,[classifier.Oportun SSN Near Term],,,1095,No,
SAS (Fraud),file,Workspaces/Shared\Fraud\MichaelDong/mdong_clarity_raw.csv,mdong_clarity_raw.csv,S-1-5-21-498304819-3224205621-3506385323-895650,41:37.7,[classifier.Oportun SSN Near Term],,,70,No,
SAS (Fraud),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_08052020_concat.csv,fraudcheck_08052020_concat.csv,S-1-5-21-498304819-3224205621-3506385323-895650,41:37.6,[classifier.Oportun SSN Near Term],,,1,No,
SAS (Fraud),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_06232020_concat.csv,fraudcheck_06232020_concat.csv,S-1-5-21-498304819-3224205621-3506385323-895650,41:37.6,[classifier.Oportun SSN Near Term],,,1,No,
SAS (Fraud),file,Workspaces/Shared\Fraud\MichaelDong\trans\12132018_pre\Fraud Family\Fraud Vendor\Experian/app_date_2017_bureau_agg.csv,app_date_2017_bureau_agg.csv,S-1-5-21-498304819-3224205621-3506385323-895650,41:42.0,[classifier.Oportun SSN Near Term],,,194,No,
SAS (Fraud),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_02052020.csv,fraudcheck_02052020.csv,S-1-5-21-498304819-3224205621-3506385323-895650,41:37.6,[classifier.Oportun SSN Near Term],,,1,No,
SAS (Fraud),file,Workspaces/Shared\Fraud\MichaelDong\03012019\Fraud Family\Fraud Vendor\Experian/app_date_2017_bureau_agg.csv,app_date_2017_bureau_agg.csv,S-1-5-21-498304819-3224205621-3506385323-895650,41:25.9,[classifier.Oportun SSN Near Term],,,194,No,
SAS (Fraud),file,Workspaces/Shared\Fraud\MichaelDong\01FEB19 Backup\Fraud Family\Fraud Vendor\Experian/app_date_2017_bureau_agg.csv,app_date_2017_bureau_agg.csv,S-1-5-21-498304819-3224205621-3506385323-895650,41:22.5,[classifier.Oportun SSN Near Term],,,198,No,
SAS (Fraud),file,Workspaces/Shared\Fraud\MichaelDong\BK_23JAN19\TeleSign_AWS/2019_05_telesign_contact.csv,2019_05_telesign_contact.csv,S-1-5-21-498304819-3224205621-3506385323-895650,41:37.4,[classifier.Oportun SSN Near Term],,,1,No,
SAS (Fraud),file,Workspaces/Shared\Fraud\MichaelDong\03012019\Misc\Info\Income Velocity/Clarity_Income_Fraud_Matrix_11_12_2015.csv,Clarity_Income_Fraud_Matrix_11_12_2015.csv,S-1-5-21-498304819-3224205621-3506385323-895650,41:28.5,[classifier.Oportun SSN Near Term],,,1100,No,
SAS (Fraud),file,Workspaces/Shared\Fraud\MichaelDong\BK_23JAN19\Documents\Fraud Family\Fraud Vendor\Experian/app_date_2017_bureau_agg.csv,app_date_2017_bureau_agg.csv,S-1-5-21-498304819-3224205621-3506385323-895650,41:34.8,[classifier.Oportun SSN Near Term],,,197,No,
